month,high,low
Jun,24,16
Jun,22,16
Jun,22,16
Jun,21,17
Jun,22,16
Jun,21,17
Jun,21,17
Jun,24,18
Jun,24,18
Jun,23,18
Jun,24,17
Jun,23,17
Jun,26,18
Jun,26,18
Jun,23,18
Jun,23,19
Jun,24,19
Jun,23,19
Jun,22,19
Jun,26,19
Jun,26,20
Jun,26,20
Jun,25,20
Jun,25,20
Jun,25,20
Jun,24,20
Jun,24,19
Jun,26,21
Jun,26,21
Jun,26,21
Jul,28,22
Jul,26,22
Jul,27,22
Jul,29,21
Jul,29,22
Jul,28,22
Jul,27,22
Jul,28,22
Jul,26,22
Jul,28,23
Jul,27,23
Jul,29,23
Jul,28,22
Jul,28,22
Jul,26,22
Jul,27,22
Jul,27,22
Jul,28,23
Jul,28,23
Jul,28,23
Jul,27,23
Jul,27,24
Jul,30,24
Jul,28,24
Jul,28,23
Jul,27,23
Jul,29,24
Jul,28,24
Jul,29,25
Jul,29,24
Jul,29,24
Aug,30,26
Aug,31,25
Aug,31,24
Aug,29,25
Aug,29,25
Aug,30,23
Aug,29,24
Aug,29,24
Aug,30,25
Aug,30,24
Aug,30,25
Aug,30,24
Aug,30,24
Aug,29,24
Aug,29,24
Aug,29,24
Aug,29,24
Aug,29,25
Aug,30,23
Aug,29,23
Aug,28,23
Aug,28,23
Aug,29,23
Aug,28,22
Aug,27,22
Aug,28,22
Aug,29,23
Aug,28,23
Aug,27,23
Aug,29,23
Aug,28,22
