Location,Cases,Death,Recovery
United States,"7,553,392","213,462","4,905,632"
India,"6,685,082","103,569","5,662,490"
Brazil,"4,969,141","147,494","4,352,871"
Russia,"1,237,504","21,663","988,576"
Colombia,"869,808","27,017","770,812"
Peru,"829,999","32,834","712,888"
Spain,"825,410","32,486",-
Argentina,"824,455","21,827","660,259"
Mexico,"794,608","82,348","557,478"
South Africa,"683,242","17,103","616,857"
France,"634,763","32,365","98,680"
United Kingdom,"530,113","42,445",-
Iran,"479,825","27,419","394,800"
Chile,"473,306","13,070","445,418"
Iraq,"387,121","9,531","316,371"
Bangladesh,"371,631","5,405","284,833"
Saudi Arabia,"336,766","4,898","322,055"
Italy,"330,263","36,030","234,099"
Turkey,"327,557","8,553","287,599"
Philippines,"326,833","5,865","273,313"
Pakistan,"315,727","6,523","300,316"
Indonesia,"311,176","11,374","236,437"
Germany,"304,657","9,616","263,702"
Israel,"272,309","1,757","204,355"
Ukraine,"234,584","4,520","103,401"
Canada,"168,960","9,504","142,334"
Ecuador,"142,056","11,702","120,511"
Netherlands,"140,471","6,461",-
Romania,"139,612","5,121","109,898"
Bolivia,"137,107","8,129","98,007"
Morocco,"134,695","2,369","113,336"
Belgium,"130,235","10,064",-
Qatar,"126,943",216,"123,893"
Panama,"115,919","2,430","92,423"
Dominican Republic,"115,054","2,144","90,942"
Kuwait,"108,268",632,"99,549"
Kazakhstan,"108,236","1,725","103,277"
Poland,"104,316","2,717","74,158"
Egypt,"103,781","5,990","97,398"
Oman,"101,814",985,"90,600"
United Arab Emirates,"100,733",435,"90,556"
Sweden,"96,145","5,883",-
Guatemala,"94,182","3,302","82,828"
Nepal,"90,814",563,"67,542"
Czech Republic,"90,022",794,"48,788"
Japan,"86,047","1,602","79,071"
China,"85,489","4,634","80,650"
Costa Rica,"82,142","1,004","50,020"
Belarus,"81,090",868,"75,376"
Portugal,"80,312","2,032","50,712"
Honduras,"80,020","2,433","29,768"
Ethiopia,"80,003","1,238","34,960"
Venezuela,"78,434",653,"68,917"
Bahrain,"73,116",261,"67,933"
Nigeria,"59,583","1,113","51,308"
Uzbekistan,"59,343",489,"56,058"
Singapore,"57,819",27,"57,597"
Moldova,"57,732","1,389","41,938"
Switzerland,"55,932","1,787","47,300"
Armenia,"52,677",984,"44,710"
Algeria,"52,270","1,768","36,672"
Austria,"49,819",822,"39,790"
Kyrgyzstan,"47,635","1,066","43,521"
Lebanon,"46,918",424,"20,490"
Ghana,"46,829",303,"46,060"
Paraguay,"44,715",947,"27,887"
Palestine,"41,957",339,"35,182"
Azerbaijan,"40,788",598,"38,587"
Kenya,"39,449",735,"27,035"
Afghanistan,"39,422","1,466","32,879"
Ireland,"38,973","1,811","24,000"
Libya,"37,437",596,"22,076"
Serbia,"34,072",757,-
Hungary,"32,298",853,"8,723"
Denmark,"30,379",663,"23,655"
El Salvador,"29,539",865,"24,406"
Bosnia and Herzegovina,"28,710",903,"22,274"
Australia,"27,149",894,"24,892"
Puerto Rico,"25,397",695,-
South Korea,"24,239",422,"22,083"
Tunisia,"22,230",321,"5,032"
Bulgaria,"21,870",854,"15,179"
Cameroon,"20,924",420,"19,764"
Greece,"20,581",420,"9,989"
Ivory Coast,"19,885",120,"19,490"
North Macedonia,"19,096",78,"15,645"
Myanmar,"18,781",444,"5,548"
Croatia,"18,084",304,"16,192"
Jordan,"17,464",110,"5,292"
Madagascar,"16,570",233,"15,601"
Kosovo,"15,814",630,"13,856"
Senegal,"15,122",312,"12,870"
Zambia,"15,089",334,"14,306"
Norway,"14,669",275,"11,190"
Albania,"14,568",403,"8,965"
Sudan,"13,653",836,"6,764"
Malaysia,"13,504",141,"10,427"
Slovakia,"13,492",55,"4,865"
Montenegro,"12,359",182,"8,308"
Namibia,"11,673",125,"9,611"
Finland,"10,929",345,"8,100"
Guinea,"10,800",67,"10,161"
DR Congo,"10,778",274,"10,239"
Maldives,"10,621",34,"9,466"
Tajikistan,"9,974",78,"8,794"
Mozambique,"9,296",66,"6,104"
Uganda,"8,965",82,"5,078"
Luxembourg,"8,925",127,"7,793"
Haiti,"8,838",229,"7,013"
Gabon,"8,808",54,"8,135"
Georgia,"8,696",54,"4,619"
Zimbabwe,"7,898",228,"6,424"
Mauritania,"7,520",162,"7,188"
Jamaica,"7,012",120,"2,635"
Slovenia,"6,573",156,-
Cape Verde,"6,433",68,"5,524"
Cuba,"5,845",123,"5,232"
Malawi,"5,794",180,"4,541"
Eswatini,"5,579",112,"5,141"
Angola,"5,530",199,"2,591"
Djibouti,"5,421",61,"5,352"
Lithuania,"5,366",99,"2,546"
Nicaragua,"5,170",151,"2,913"
