Year,Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: consumption of fixed capital (current US$),Adjusted savings: education expenditure (% of GNI),Adjusted savings: energy depletion (current US$),Adjusted savings: mineral depletion (current US$),Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),CO2 emissions (kt),Methane emissions (kt of CO2 equivalent),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Aquaculture production (metric tons),Capture fisheries production (metric tons),Total fisheries production (metric tons),Coal rents (% of GDP),Forest rents (% of GDP),Mineral rents (% of GDP),Oil rents (% of GDP),Natural gas rents (% of GDP),Total natural resources rents (% of GDP),Forest area (sq. km),Land area (sq. km),Forest area (% of land area)
1960,0.00,0.00,0,0.00,0.00,0,0,0,0,1561452.604,0,0,1741012,4430188,6171200,0,0,0,0,0,0,0,0,0
1961,0.00,0.00,0,0.00,0.00,0,0,0,0,552066.85,0,0,689762,2395838,3085600,0,0,0,0,0,0,0,9388250,0
1962,0.00,0.00,0,0.00,0.00,0,0,0,0,440359.029,0,0,653121,2539279,3192400,0,0,0,0,0,0,0,9388250,0
1963,0.00,0.00,0,0.00,0.00,0,0,0,0,436695.696,0,0,751331,2491069,3242400,0,0,0,0,0,0,0,9388250,0
1964,0.00,0.00,0,0.00,0.00,0,0,0,0,436923.05,0,0,876283,2466117,3342400,0,0,0,0,0,0,0,9388250,0
1965,0.00,0.00,0,0.00,0.00,0,0,0,0,475972.933,0,0,1018740,2530460,3549200,0,0,0,0,0,0,0,9388250,0
1966,0.00,0.00,0,0.00,0.00,0,0,0,0,522789.522,0,0,1144775,2504425,3649200,0,0,0,0,0,0,0,9388250,0
1967,0.00,0.00,0,0.00,0.00,0,0,0,0,433234.048,0,0,1139911,2509289,3649200,0,0,0,0,0,0,0,9388250,0
1968,0.00,0.00,0,0.00,0.00,0,0,0,0,468928.626,0,0,1130208,2625692,3755900,0,0,0,0,0,0,0,9388250,0
1969,0.00,0.00,0,0.00,0.00,0,0,0,0,577237.138,0,0,1302649,2553251,3855900,0,0,0,0,0,0,0,9388250,0
