Year,Country Name,CO2 emissions (kt)
1960,China,1561452.604
1960,Japan,465562.32
1961,Japan,283118.069
1961,China,552066.85
1962,China,440359.029
1962,Japan,293220.654
1963,China,436695.696
1963,Japan,325222.563
1964,Japan,359318.329
1964,China,436923.05
1965,China,475972.933
1965,Japan,386919.838
1966,Japan,419743.155
1966,China,522789.522
1967,Japan,489881.864
1967,China,433234.048
1968,China,468928.626
1968,Japan,562565.471
1969,Japan,653958.112
1969,China,577237.138
1970,China,1543234.948
1970,Japan,1537646.44
1971,Japan,797543.164
1971,China,876633.02
1972,Japan,853373.239
1972,China,931575.681
1973,Japan,915748.909
1973,China,968542.708
1974,Japan,915873.587
1974,China,988014.478
1975,China,1145607.47
1975,Japan,870072.757
1976,Japan,908902.62
1976,China,1196193.735
1977,China,1310310.775
1977,Japan,935213.345
1978,Japan,903886.164
1978,China,1462168.579
1979,Japan,955620.2
1979,China,1494859.884
1980,China,2934384.738
1980,Japan,1895142.27
1981,China,1451501.276
1981,Japan,929606.502
1982,China,1580260.647
1982,Japan,900200.829
1983,Japan,883838.675
1983,China,1667029.201
1984,Japan,940130.792
1984,China,1814908.31
1985,China,1966553.428
1985,Japan,915396.877
1986,Japan,915334.538
1986,China,2068969.071
1987,Japan,905734.332
1987,China,2209708.531
1988,China,2369501.723
1988,Japan,989081.575
1989,China,2408540.605
1989,Japan,1025549.89
1990,China,4884862.038
1990,Japan,2192359.954
1991,China,2565594.548
1991,Japan,1099381.268
1992,Japan,1123847.492
1992,China,2690455.898
1993,China,2878694.009
1993,Japan,1109887.223
1994,Japan,1173315.322
1994,China,3058241.33
1995,Japan,1183447.243
1995,China,3320285.15
1996,China,3463089.131
1996,Japan,1204690.174
1997,China,3469510.048
1997,Japan,1200788.486
1998,Japan,1157829.581
1998,China,3324344.519
1999,Japan,1196516.431
1999,China,3318055.614
2000,China,3405179.867
2000,Japan,1220527.947
2001,Japan,1203377.388
2001,China,3487566.356
2002,China,3850269.326
2002,Japan,1220047.57
2003,China,4540417.061
2003,Japan,1242093.574
2004,Japan,1266009.748
2004,China,5233538.733
2005,Japan,1239255.316
2005,China,5896957.705
2006,Japan,1231495.944
2006,China,6529291.518
2007,China,7030797.772
2007,Japan,1252229.162
2008,China,7553070.247
2008,Japan,1210135.669
2009,Japan,1103869.676
2009,China,8001008.965
2010,China,8776040.416
2010,Japan,1171624.835
2011,Japan,1191074.603
2011,China,9733538.12
2012,Japan,1230168.49
2012,China,10028573.94
2013,Japan,1246515.976
2013,China,10258007.13
2014,China,10291926.88
2014,Japan,1214048.358
