Country Name,Year,Total fisheries production (metric tons)
China,1960,6171200
Japan,1960,12467094
Japan,1961,6752627
China,1961,3085600
China,1962,3192400
Japan,1962,6909629
China,1963,3242400
Japan,1963,6744572
Japan,1964,6400607
China,1964,3342400
China,1965,3549200
Japan,1965,6952402
Japan,1966,7177695
China,1966,3649200
Japan,1967,7979807
China,1967,3649200
China,1968,3755900
Japan,1968,8713293
Japan,1969,8649447
China,1969,3855900
China,1970,7568400
Japan,1970,18689214
Japan,1971,9949029
China,1971,4258800
Japan,1972,10300000
China,1972,4716900
Japan,1973,10800000
China,1973,4687200
Japan,1974,10800000
China,1974,5105899
China,1975,5372997
Japan,1975,10600000
Japan,1976,10700000
China,1976,5438824
China,1977,6020062
Japan,1977,10800000
Japan,1978,10900000
China,1978,5996137
Japan,1979,10600000
China,1979,5550691
China,1980,11614392
Japan,1980,22200000
China,1981,5787655
Japan,1981,11400000
China,1982,6381252
Japan,1982,11500000
Japan,1983,12000000
China,1983,6920463
Japan,1984,12800000
China,1984,7770790
China,1985,8789380
Japan,1985,12100000
Japan,1986,12800000
China,1986,10100000
Japan,1987,12500000
China,1987,11400000
China,1988,12800000
Japan,1988,12800000
China,1989,13800000
Japan,1989,12000000
China,1990,29400000
Japan,1990,22200000
China,1991,16500000
Japan,1991,10000000
Japan,1992,9359007
China,1992,19700000
China,1993,23600000
Japan,1993,8790829
Japan,1994,8188004
China,1994,28100000
Japan,1995,7536569
China,1995,32700000
China,1996,36500000
Japan,1996,7446856
China,1997,37200000
Japan,1997,7422091
Japan,1998,6720586
China,1998,39900000
Japan,1999,6634957
China,1999,41800000
China,2000,43300000
Japan,2000,6483310
Japan,2001,6147400
China,2001,44300000
China,2002,46300000
Japan,2002,5886827
China,2003,48200000
Japan,2003,6101859
Japan,2004,5712155
China,2004,50700000
Japan,2005,5695057
China,2005,52500000
Japan,2006,5675395
China,2006,54600000
China,2007,56200000
Japan,2007,5714497
China,2008,57800000
Japan,2008,5628025
Japan,2009,5474059
China,2009,60500000
China,2010,63500000
Japan,2010,5339478
Japan,2011,4786412
China,2011,66200000
Japan,2012,4836243
China,2012,70400000
Japan,2013,4763637
China,2013,73700000
China,2014,76100000
Japan,2014,4756123
China,2015,78800000
Japan,2015,4655760
China,2016,81500000
Japan,2016,4343257
